Timestamp,Age,Gender,Race/Ethnicity,Highest Education Level?,Which party do you best identify with?,Number of Children:,What household income bracket best fits you?,State of Residence,"On a scale of 1-10, how educated would you say you are on the issue of defense spending?","Scenario: The Biden administration proposed earlier this year a 2024 budget of $842 billion for the Department of Defense. This is an increase of $26 billion from 2023, and $100 billion over 2022. The budget increase was proposed because China is prioritized as America's defense pacing strategy and the money will go toward ""U.S. force posture, infrastructure, presence, and readiness as well as efforts to bolster the capacity and capabilities of U.S. allies and partners in the Indo-Pacific region."" 

Based on the provided context, do you believe this proposed budget for national defense spending is adequate to protect the country against potential threats?",How important do you believe the role of the military is in protecting the United States?,Scenario: A budgetary surplus in the year of 2023 has left the U.S. government with additional funding to provide to any department of the choosing of federal officials for the 2024 fiscal year. How much of this budgetary surplus do you believe should be put towards the Department of Defense?
5/15/2023 12:08:19,36 - 45,Female,Asian,Master's Degree,Democrat,2,"$89,076 - $170,050",North Carolina,1,The Money Allotted is Just Enough,5,80-99% (A Lot)
5/15/2023 12:08:58,18-25,Male,Asian,Currently In College/Some College,Democrat,0,"$215,951 - $539,900.",North Carolina,3,The Money Allotted is Just Enough,2,20-39% (Some)
5/15/2023 12:13:22,46 - 55,Male,Asian,Bachelor's Degree,Independent,2,"$539,901+",Texas,5,The Money Allotted is Just Enough,5,0% (None)
5/15/2023 12:14:19,46 - 55,Male,Asian,Master's Degree,Democrat,2,"$215,951 - $539,900.",North Carolina,5,The Money Allotted is Just Enough,5,20-39% (Some)
5/15/2023 12:18:51,18-25,Female,Asian,Currently In College/Some College,Democrat,0,"Less than $10,276",North Carolina,1,The Money Allotted is Just Enough,2,1-19% (Little)
5/15/2023 12:21:24,36 - 45,Male,Asian,Master's Degree,Independent,2,"$215,951 - $539,900.",Texas,2,More Money is Needed,4,40-59% (A Medium Amount)
5/15/2023 12:22:25,46 - 55,Male,Asian,,Independent,1,"$215,951 - $539,900.",Ohio,6,More Money is Needed,5,40-59% (A Medium Amount)
5/15/2023 12:24:40,46 - 55,Female,Asian,Bachelor's Degree,Republican,2,"$215,951 - $539,900.",Virginia,5,Too Much Money has Been Provided,4,40-59% (A Medium Amount)
5/15/2023 12:25:50,36 - 45,Female,Asian,Master's Degree,Democrat,2,"$215,951 - $539,900.",Illinois,6,The Money Allotted is Just Enough,5,60-79% (Much)
5/15/2023 12:33:51,36 - 45,Male,Asian,Bachelor's Degree,Other,2,"$215,951 - $539,900.",Texas,7,The Money Allotted is Just Enough,5,1-19% (Little)
5/15/2023 12:35:12,26-35,Male,Asian,Master's Degree,Independent,1,"$89,076 - $170,050",North Carolina,7,The Money Allotted is Just Enough,5,20-39% (Some)
5/15/2023 12:37:18,26-35,Female,Asian,Bachelor's Degree,Other,1,"$215,951 - $539,900.",North Carolina,1,The Money Allotted is Just Enough,3,20-39% (Some)
5/15/2023 12:37:31,36 - 45,Male,Asian,Bachelor's Degree,Democrat,1,"$215,951 - $539,900.",North Carolina,3,The Money Allotted is Just Enough,5,40-59% (A Medium Amount)
5/15/2023 12:38:03,46 - 55,Male,Asian,Bachelor's Degree,Independent,2,"$89,076 - $170,050",North Carolina,6,The Money Allotted is Just Enough,5,40-59% (A Medium Amount)
5/15/2023 12:39:38,36 - 45,Female,Asian,Bachelor's Degree,Independent,2,"$89,076 - $170,050",North Carolina,1,The Money Allotted is Just Enough,5,40-59% (A Medium Amount)
5/15/2023 12:48:00,36 - 45,Female,Asian,Master's Degree,Democrat,1,"$170,050 - $215,950",North Carolina,3,More Money is Needed,5,40-59% (A Medium Amount)
5/15/2023 12:48:08,36 - 45,Male,Asian,Master's Degree,Democrat,2,"$215,951 - $539,900.",North Carolina,6,The Money Allotted is Just Enough,5,100% (All)
5/15/2023 12:54:53,26-35,Female,Asian,Master's Degree,Other,2,"$215,951 - $539,900.",North Carolina,5,More Money is Needed,5,40-59% (A Medium Amount)
5/15/2023 12:57:09,26-35,Male,Asian,Master's Degree,Democrat,2,"$89,076 - $170,050",North Carolina,7,Too Much Money has Been Provided,4,0% (None)
5/15/2023 13:03:24,36 - 45,Male,Asian,Bachelor's Degree,Other,2,"$89,076 - $170,050",Connecticut,3,The Money Allotted is Just Enough,3,20-39% (Some)
5/15/2023 13:24:54,36 - 45,Female,Asian,Bachelor's Degree,Democrat,2,"$89,076 - $170,050",Texas,2,Too Much Money has Been Provided,3,20-39% (Some)
5/15/2023 13:25:38,46 - 55,Male,Asian,Bachelor's Degree,Independent,2,"$89,076 - $170,050",North Carolina,2,Too Much Money has Been Provided,4,1-19% (Little)
5/15/2023 13:25:41,36 - 45,Female,Asian,Master's Degree,Democrat,2,"$215,951 - $539,900.",North Carolina,4,More Money is Needed,5,20-39% (Some)
5/15/2023 13:31:28,36 - 45,Female,White,Master's Degree,Democrat,2,"$215,951 - $539,900.",North Carolina,2,The Money Allotted is Just Enough,3,0% (None)
